Movie_Title,YR_Released,Rating,Num_Reviews,Movie_ID,Record,Runtime
Space Mutiny,1988,2.2,5871,tt0096149,Bottom 250 Movies,91
Night Train to Mundo Fine,1966,2.3,5928,tt0060753,Bottom 250 Movies,89
Extra Terrestrial Visitors,1983,2.3,3926,tt0086026,Bottom 250 Movies,80
Dracula 3000,2004,2.3,5217,tt0367677,Bottom 250 Movies,86
The Wild World of Batwoman,1966,2.3,3968,tt0061191,Bottom 250 Movies,70
Surf School,2006,2.3,4677,tt0456014,Bottom 250 Movies,87
Epic Movie,2007,2.3,92727,tt0799949,Bottom 250 Movies,86
Alone in the Dark,2005,2.4,38605,tt0369226,Bottom 250 Movies,96
The Starfighters,1964,2.4,3080,tt0058615,Bottom 250 Movies,78
Leonard Part 6,1987,2.4,7312,tt0093405,Bottom 250 Movies,85
Final Justice,1985,2.4,2792,tt0087258,Bottom 250 Movies,90
Eegah,1962,2.4,4833,tt0055946,Bottom 250 Movies,90
Die Hard Dracula,1998,2.4,3103,tt0162930,Bottom 250 Movies,88
The Class,2007,2.4,2968,tt0929809,Bottom 250 Movies,100
United Passions,2014,2.4,3547,tt2814362,Bottom 250 Movies,110
Gigli,2003,2.4,42661,tt0299930,Bottom 250 Movies,121
Kyaa Kool Hain Hum 3,2016,2.4,3405,tt5290620,Bottom 250 Movies,124
The Pumaman,1980,2.5,3636,tt0081693,Bottom 250 Movies,90
Battlefield Earth,2000,2.5,67616,tt0185183,Bottom 250 Movies,118
Troppo belli,2005,2.5,4471,tt0469849,Bottom 250 Movies,97
Smolensk,2016,2.5,6763,tt6038600,Bottom 250 Movies,120
Track of the Moon Beast,1976,2.5,3045,tt0075343,Bottom 250 Movies,90
Anne B. Real,2003,2.5,3561,tt0315775,Bottom 250 Movies,91
Invasion of the Neptune Men,1961,2.5,2246,tt0055562,Bottom 250 Movies,74
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964,2.5,4210,tt0057181,Bottom 250 Movies,82
Zaat,1971,2.5,4186,tt0072666,Bottom 250 Movies,100
The Skydivers,1963,2.5,4463,tt0057507,Bottom 250 Movies,75
Girl in Gold Boots,1968,2.5,3259,tt0174685,Bottom 250 Movies,94
The Oogieloves in the Big Balloon Adventure,2012,2.5,14365,tt1520498,Bottom 250 Movies,88
Chairman of the Board,1998,2.5,5316,tt0118836,Bottom 250 Movies,95
Lawnmower Man 2: Beyond Cyberspace,1996,2.5,8247,tt0116839,Bottom 250 Movies,93
The Maize: The Movie,2004,2.5,2540,tt0451109,Bottom 250 Movies,100
The Touch of Satan,1971,2.6,2442,tt0066476,Bottom 250 Movies,90
Baby Geniuses,1999,2.6,20834,tt0118665,Bottom 250 Movies,97
Soultaker,1990,2.6,3313,tt0100665,Bottom 250 Movies,94
The Blade Master,1984,2.6,3096,tt0086972,Bottom 250 Movies,92
Prince of Space,1959,2.6,2531,tt0053464,Bottom 250 Movies,121
Simon Sez,1999,2.6,6119,tt0168172,Bottom 250 Movies,85
Santa Claus Conquers the Martians,1964,2.6,9292,tt0058548,Bottom 250 Movies,81
Tees Maar Khan,2010,2.6,8952,tt1572311,Bottom 250 Movies,135
Breaking Wind,2012,2.6,3910,tt1651323,Bottom 250 Movies,82
Santa with Muscles,1996,2.7,8006,tt0117550,Bottom 250 Movies,97
Zombie Nightmare,1987,2.7,2593,tt0092297,Bottom 250 Movies,89
Boggy Creek II: And the Legend Continues,1984,2.7,2838,tt0088772,Bottom 250 Movies,91
Dis - en historie om kjærlighet,1995,2.7,2875,tt0112873,Bottom 250 Movies,70
Fat Slags,2004,2.7,3640,tt0382028,Bottom 250 Movies,75
"Car 54, Where Are You?",1994,2.7,3983,tt0109376,Bottom 250 Movies,89
Dragonball: Evolution,2009,2.7,59958,tt1098327,Bottom 250 Movies,85
La momia azteca contra el robot humano,1958,2.7,1927,tt0050717,Bottom 250 Movies,65
Body in the Web,1960,2.7,3179,tt0054333,Bottom 250 Movies,77
Mitchell,1975,2.7,3894,tt0073396,Bottom 250 Movies,97
Theodore Rex,1995,2.7,3378,tt0114658,Bottom 250 Movies,92
Santa Claus,1959,2.7,3918,tt0053241,Bottom 250 Movies,94
Laserblast,1978,2.7,4732,tt0077834,Bottom 250 Movies,85
Ed,1996,2.7,7408,tt0116165,Bottom 250 Movies,94
Survival Island,2002,2.7,3616,tt0201844,Bottom 250 Movies,85
Time Chasers,1994,2.7,2756,tt0145529,Bottom 250 Movies,89
Devil Fish,1984,2.7,2624,tt0088100,Bottom 250 Movies,90
Meet the Spartans,2008,2.7,92020,tt1073498,Bottom 250 Movies,86
It's Pat: The Movie,1994,2.7,8762,tt0110169,Bottom 250 Movies,77
I Accuse My Parents,1944,2.7,2444,tt0037798,Bottom 250 Movies,68
The Bat People,1974,2.7,1920,tt0071198,Bottom 250 Movies,91
Stjerner uden hjerner,1997,2.8,2332,tt0120214,Bottom 250 Movies,79
Ghosts Can't Do It,1989,2.8,2074,tt0099656,Bottom 250 Movies,90
Warrior of the Lost World,1983,2.8,2151,tt0088380,Bottom 250 Movies,92
The Shawshank Redemption,1994,9.2,1829037,tt0111161,Top 250 Eng Movies,142
The Godfather,1972,9.2,1249333,tt0068646,Top 250 Eng Movies,175
The Godfather: Part II,1974,9,860228,tt0071562,Top 250 Eng Movies,202
The Dark Knight,2008,9,1808543,tt0468569,Top 250 Eng Movies,152
12 Angry Men,1957,8.9,497242,tt0050083,Top 250 Eng Movies,96
Schindler's List,1993,8.9,939136,tt0108052,Top 250 Eng Movies,195
The Lord of the Rings: The Return of the King,2003,8.9,1311271,tt0167260,Top 250 Eng Movies,201
Pulp Fiction,1994,8.9,1432193,tt0110912,Top 250 Eng Movies,154
Fight Club,1999,8.8,1465931,tt0137523,Top 250 Eng Movies,139
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1332276,tt0120737,Top 250 Eng Movies,178
Forrest Gump,1994,8.8,1375185,tt0109830,Top 250 Eng Movies,142
Star Wars: Episode V - The Empire Strikes Back,1980,8.8,914145,tt0080684,Top 250 Eng Movies,124
Inception,2010,8.7,1599451,tt1375666,Top 250 Eng Movies,148
The Lord of the Rings: The Two Towers,2002,8.7,1188529,tt0167261,Top 250 Eng Movies,179
One Flew Over the Cuckoo's Nest,1975,8.7,732419,tt0073486,Top 250 Eng Movies,133
Goodfellas,1990,8.7,788904,tt0099685,Top 250 Eng Movies,146
The Matrix,1999,8.7,1317661,tt0133093,Top 250 Eng Movies,136
Star Wars: Episode IV - A New Hope,1977,8.6,987025,tt0076759,Top 250 Eng Movies,121
Se7en,1995,8.6,1114183,tt0114369,Top 250 Eng Movies,127
It's a Wonderful Life,1946,8.6,302427,tt0038650,Top 250 Eng Movies,130
The Silence of the Lambs,1991,8.6,971560,tt0102926,Top 250 Eng Movies,118
The Usual Suspects,1995,8.6,801119,tt0114814,Top 250 Eng Movies,106
Léon: The Professional,1994,8.6,791000,tt0110413,Top 250 Eng Movies,110
Saving Private Ryan,1998,8.6,960846,tt0120815,Top 250 Eng Movies,169
City Lights,1931,8.6,120458,tt0021749,Top 250 Eng Movies,87
Interstellar,2014,8.5,1064083,tt0816692,Top 250 Eng Movies,169
American History X,1998,8.5,843817,tt0120586,Top 250 Eng Movies,119
Modern Times,1936,8.5,158806,tt0027977,Top 250 Eng Movies,87
Casablanca,1942,8.5,417396,tt0034583,Top 250 Eng Movies,102
The Green Mile,1999,8.5,862500,tt0120689,Top 250 Eng Movies,189
Psycho,1960,8.5,460216,tt0054215,Top 250 Eng Movies,109
Raiders of the Lost Ark,1981,8.5,712084,tt0082971,Top 250 Eng Movies,115
The Pianist,2002,8.5,547499,tt0253474,Top 250 Eng Movies,150
Rear Window,1954,8.5,343628,tt0047396,Top 250 Eng Movies,112
The Departed,2006,8.5,946303,tt0407887,Top 250 Eng Movies,151
Whiplash,2014,8.5,486954,tt2582802,Top 250 Eng Movies,107
Terminator 2: Judgment Day,1991,8.5,800716,tt0103064,Top 250 Eng Movies,137
Back to the Future,1985,8.5,801488,tt0088763,Top 250 Eng Movies,116
Gladiator,2000,8.5,1063774,tt0172495,Top 250 Eng Movies,155
The Lion King,1994,8.5,708441,tt0110357,Top 250 Eng Movies,88
The Prestige,2006,8.5,923330,tt0482571,Top 250 Eng Movies,130
Apocalypse Now,1979,8.5,483851,tt0078788,Top 250 Eng Movies,153
Memento,2000,8.5,912240,tt0209144,Top 250 Eng Movies,113
The Great Dictator,1940,8.5,151920,tt0032553,Top 250 Eng Movies,125
Sunset Blvd.,1950,8.5,152174,tt0043014,Top 250 Eng Movies,110
Alien,1979,8.5,620941,tt0078748,Top 250 Eng Movies,117
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.5,368325,tt0057012,Top 250 Eng Movies,95
Paths of Glory,1957,8.4,132377,tt0050825,Top 250 Eng Movies,88
Django Unchained,2012,8.4,1050274,tt1853728,Top 250 Eng Movies,165
The Shining,1980,8.4,667165,tt0081505,Top 250 Eng Movies,146
Witness for the Prosecution,1957,8.4,71949,tt0051201,Top 250 Eng Movies,116
The Dark Knight Rises,2012,8.4,1233870,tt1345836,Top 250 Eng Movies,164
WALL·E,2008,8.4,785336,tt0910970,Top 250 Eng Movies,98
American Beauty,1999,8.4,885215,tt0169547,Top 250 Eng Movies,122
Once Upon a Time in America,1984,8.4,239897,tt0087843,Top 250 Eng Movies,229
Aliens,1986,8.4,530993,tt0090605,Top 250 Eng Movies,137
Citizen Kane,1941,8.4,319955,tt0033467,Top 250 Eng Movies,119
North by Northwest,1959,8.4,236685,tt0053125,Top 250 Eng Movies,136
Vertigo,1958,8.4,272686,tt0052357,Top 250 Eng Movies,128
Star Wars: Episode VI - Return of the Jedi,1983,8.3,749019,tt0086190,Top 250 Eng Movies,131
Braveheart,1995,8.3,794837,tt0112573,Top 250 Eng Movies,178
Reservoir Dogs,1992,8.3,722451,tt0105236,Top 250 Eng Movies,99
Double Indemnity,1944,8.3,107207,tt0036775,Top 250 Eng Movies,107
Requiem for a Dream,2000,8.3,619247,tt0180093,Top 250 Eng Movies,102
Lawrence of Arabia,1962,8.3,209044,tt0056172,Top 250 Eng Movies,216
The Kid,1921,8.3,76922,tt0012349,Top 250 Eng Movies,68
A Clockwork Orange,1971,8.3,604786,tt0066921,Top 250 Eng Movies,136
Amadeus,1984,8.3,293717,tt0086879,Top 250 Eng Movies,160
To Kill a Mockingbird,1962,8.3,234667,tt0056592,Top 250 Eng Movies,129
Eternal Sunshine of the Spotless Mind,2004,8.3,723762,tt0338013,Top 250 Eng Movies,108
Singin' in the Rain,1952,8.3,166455,tt0045152,Top 250 Eng Movies,103
Taxi Driver,1976,8.3,552785,tt0075314,Top 250 Eng Movies,113
The Sting,1973,8.3,190428,tt0070735,Top 250 Eng Movies,129
Toy Story 3,2010,8.3,592883,tt0435761,Top 250 Eng Movies,103
2001: A Space Odyssey,1968,8.3,465433,tt0062622,Top 250 Eng Movies,149
Full Metal Jacket,1987,8.3,527935,tt0093058,Top 250 Eng Movies,116
Baby Driver,2017,8.3,42557,tt3890160,Top 250 Eng Movies,113
Toy Story,1995,8.3,681275,tt0114709,Top 250 Eng Movies,81
Inglourious Basterds,2009,8.3,969927,tt0361748,Top 250 Eng Movies,153
Snatch,2000,8.3,645077,tt0208092,Top 250 Eng Movies,102
The Apartment,1960,8.3,120194,tt0053604,Top 250 Eng Movies,125
All About Eve,1950,8.3,90639,tt0042192,Top 250 Eng Movies,138
Monty Python and the Holy Grail,1975,8.3,409020,tt0071853,Top 250 Eng Movies,91
Scarface,1983,8.3,581536,tt0086250,Top 250 Eng Movies,170
L.A. Confidential,1997,8.3,442469,tt0119488,Top 250 Eng Movies,138
Good Will Hunting,1997,8.3,662489,tt0119217,Top 250 Eng Movies,126
The Treasure of the Sierra Madre,1948,8.3,85995,tt0040897,Top 250 Eng Movies,126
Indiana Jones and the Last Crusade,1989,8.3,557362,tt0097576,Top 250 Eng Movies,127
Some Like It Hot,1959,8.3,189774,tt0053291,Top 250 Eng Movies,121
Batman Begins,2005,8.2,1058439,tt0372784,Top 250 Eng Movies,140
Up,2009,8.2,730173,tt1049413,Top 250 Eng Movies,96
The Third Man,1949,8.2,123518,tt0041959,Top 250 Eng Movies,93
Unforgiven,1992,8.2,299644,tt0105695,Top 250 Eng Movies,131
Judgment at Nuremberg,1961,8.2,49522,tt0055031,Top 250 Eng Movies,186
Raging Bull,1980,8.2,252854,tt0081398,Top 250 Eng Movies,129
The Great Escape,1963,8.2,178870,tt0057115,Top 250 Eng Movies,172
Heat,1995,8.2,462466,tt0113277,Top 250 Eng Movies,170
Die Hard,1988,8.2,637158,tt0095016,Top 250 Eng Movies,131
The Gold Rush,1925,8.2,74499,tt0015864,Top 250 Eng Movies,95
Chinatown,1974,8.2,233309,tt0071315,Top 250 Eng Movies,130
On the Waterfront,1954,8.2,109637,tt0047296,Top 250 Eng Movies,108
Mr. Smith Goes to Washington,1939,8.2,83360,tt0031679,Top 250 Eng Movies,129
The General,1926,8.2,58514,tt0017925,Top 250 Eng Movies,67
Inside Out,2015,8.2,425314,tt2096673,Top 250 Eng Movies,95
The Bridge on the River Kwai,1957,8.2,161772,tt0050212,Top 250 Eng Movies,161
Room,2015,8.2,230411,tt3170832,Top 250 Eng Movies,118
La La Land,2016,8.2,280648,tt3783958,Top 250 Eng Movies,128
Logan,2017,8.2,333676,tt3315342,Top 250 Eng Movies,137
Blade Runner,1982,8.2,500123,tt0083658,Top 250 Eng Movies,117
"Lock, Stock and Two Smoking Barrels",1998,8.2,443715,tt0120735,Top 250 Eng Movies,107
Casino,1995,8.2,361435,tt0112641,Top 250 Eng Movies,178
A Beautiful Mind,2001,8.2,668623,tt0268978,Top 250 Eng Movies,135
The Elephant Man,1980,8.2,175151,tt0080678,Top 250 Eng Movies,124
Warrior,2011,8.2,359095,tt1291584,Top 250 Eng Movies,140
V for Vendetta,2005,8.2,854041,tt0434409,Top 250 Eng Movies,132
The Wolf of Wall Street,2013,8.2,875751,tt0993846,Top 250 Eng Movies,180
Dial M for Murder,1954,8.2,117304,tt0046912,Top 250 Eng Movies,105
Hacksaw Ridge,2016,8.2,232210,tt2119532,Top 250 Eng Movies,139
Gone with the Wind,1939,8.2,231809,tt0031381,Top 250 Eng Movies,238
The Message,1976,8.2,36313,tt0074896,Top 250 Eng Movies,177
Rebecca,1940,8.2,94628,tt0032976,Top 250 Eng Movies,130
Trainspotting,1996,8.2,521571,tt0117951,Top 250 Eng Movies,94
The Deer Hunter,1978,8.1,250410,tt0077416,Top 250 Eng Movies,183
Cool Hand Luke,1967,8.1,128608,tt0061512,Top 250 Eng Movies,126
Gran Torino,2008,8.1,600830,tt1205489,Top 250 Eng Movies,116
The Big Lebowski,1998,8.1,582853,tt0118715,Top 250 Eng Movies,117
The Thing,1982,8.1,282114,tt0084787,Top 250 Eng Movies,109
It Happened One Night,1934,8.1,71040,tt0025316,Top 250 Eng Movies,105
Fargo,1996,8.1,492443,tt0116282,Top 250 Eng Movies,98
The Sixth Sense,1999,8.1,754960,tt0167404,Top 250 Eng Movies,107
Finding Nemo,2003,8.1,758589,tt0266543,Top 250 Eng Movies,100
Mary and Max,2009,8.1,130331,tt0978762,Top 250 Eng Movies,92
No Country for Old Men,2007,8.1,667072,tt0477348,Top 250 Eng Movies,122
How to Train Your Dragon,2010,8.1,529325,tt0892769,Top 250 Eng Movies,98
There Will Be Blood,2007,8.1,404931,tt0469494,Top 250 Eng Movies,158
Into the Wild,2007,8.1,463724,tt0758758,Top 250 Eng Movies,148
Kill Bill: Vol. 1,2003,8.1,793769,tt0266697,Top 250 Eng Movies,111
Gone Girl,2014,8.1,644810,tt2267998,Top 250 Eng Movies,149
Life of Brian,1979,8.1,292152,tt0079470,Top 250 Eng Movies,94
Network,1976,8.1,112569,tt0074958,Top 250 Eng Movies,121
Shutter Island,2010,8.1,865451,tt1130884,Top 250 Eng Movies,138
In the Name of the Father,1993,8.1,120514,tt0107207,Top 250 Eng Movies,133
Rush,2013,8.1,343470,tt1979320,Top 250 Eng Movies,123
Hotel Rwanda,2004,8.1,282803,tt0395169,Top 250 Eng Movies,121
Platoon,1986,8.1,312743,tt0091763,Top 250 Eng Movies,120
Song of the Sea,2014,8.1,33885,tt1865505,Top 250 Eng Movies,93
Ben-Hur,1959,8.1,175529,tt0052618,Top 250 Eng Movies,212
Stand by Me,1986,8.1,293128,tt0092005,Top 250 Eng Movies,89
Hachi: A Dog's Tale,2009,8.1,180654,tt1028532,Top 250 Eng Movies,93
Kind Hearts and Coronets,1949,8.1,29283,tt0041546,Top 250 Eng Movies,106
The Maltese Falcon,1941,8.1,122229,tt0033870,Top 250 Eng Movies,100
Butch Cassidy and the Sundance Kid,1969,8.1,164052,tt0064115,Top 250 Eng Movies,110
La leggenda del pianista sull'oceano,1998,8.1,44387,tt0120731,Top 250 Eng Movies,165
Spotlight,2015,8.1,275223,tt1895587,Top 250 Eng Movies,128
Brief Encounter,1945,8.1,28099,tt0037558,Top 250 Eng Movies,86
The Best Years of Our Lives,1946,8.1,43688,tt0036868,Top 250 Eng Movies,170
The Grapes of Wrath,1940,8.1,68455,tt0032551,Top 250 Eng Movies,129
12 Years a Slave,2013,8.1,492419,tt2024544,Top 250 Eng Movies,134
The Grand Budapest Hotel,2014,8.1,537620,tt2278388,Top 250 Eng Movies,99
Mad Max: Fury Road,2015,8.1,643317,tt1392190,Top 250 Eng Movies,120
The Princess Bride,1987,8.1,316058,tt0093779,Top 250 Eng Movies,98
What Ever Happened to Baby Jane?,1962,8.1,37906,tt0056687,Top 250 Eng Movies,134
Million Dollar Baby,2004,8.1,520514,tt0405159,Top 250 Eng Movies,132
Jurassic Park,1993,8.1,672562,tt0107290,Top 250 Eng Movies,127
Touch of Evil,1958,8.1,78497,tt0052311,Top 250 Eng Movies,95
Spider-Man: Homecoming,2017,8.1,63449,tt2250912,Top 250 Eng Movies,133
Before Sunrise,1995,8.1,202637,tt0112471,Top 250 Eng Movies,101
The Truman Show,1998,8.1,727241,tt0120382,Top 250 Eng Movies,103
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,597151,tt1201607,Top 250 Eng Movies,130
Star Wars: Episode VII - The Force Awakens,2015,8.1,671338,tt2488496,Top 250 Eng Movies,136
"Paris, Texas",1984,8.1,55587,tt0087884,Top 250 Eng Movies,145
The Last Picture Show,1971,8.1,33614,tt0067328,Top 250 Eng Movies,118
Gandhi,1982,8.1,184691,tt0083987,Top 250 Eng Movies,191
Barry Lyndon,1975,8.1,110612,tt0072684,Top 250 Eng Movies,184
Rocky,1976,8.1,410553,tt0075148,Top 250 Eng Movies,120
Annie Hall,1977,8.1,209863,tt0075686,Top 250 Eng Movies,93
Prisoners,2013,8.1,437471,tt1392214,Top 250 Eng Movies,153
Donnie Darko,2001,8.1,625616,tt0246578,Top 250 Eng Movies,113
Catch Me If You Can,2002,8,595613,tt0264464,Top 250 Eng Movies,141
The Man Who Shot Liberty Valance,1962,8,56854,tt0056217,Top 250 Eng Movies,123
Laura,1944,8,34055,tt0037008,Top 250 Eng Movies,88
"Monsters, Inc.",2001,8,640671,tt0198781,Top 250 Eng Movies,92
The Bourne Ultimatum,2007,8,529942,tt0440963,Top 250 Eng Movies,115
Cat on a Hot Tin Roof,1958,8,36099,tt0051459,Top 250 Eng Movies,108
The Wizard of Oz,1939,8,312709,tt0032138,Top 250 Eng Movies,102
Sleuth,1972,8,38702,tt0069281,Top 250 Eng Movies,138
Roman Holiday,1953,8,107935,tt0046250,Top 250 Eng Movies,118
Out of the Past,1947,8,25158,tt0039689,Top 250 Eng Movies,97
Anatomy of a Murder,1959,8,49040,tt0052561,Top 250 Eng Movies,160
Who's Afraid of Virginia Woolf?,1966,8,59195,tt0061184,Top 250 Eng Movies,131
The Terminator,1984,8,646930,tt0088247,Top 250 Eng Movies,107
Groundhog Day,1993,8,475438,tt0107048,Top 250 Eng Movies,101
The Help,2011,8,345567,tt1454029,Top 250 Eng Movies,146
Strangers on a Train,1951,8,104299,tt0044079,Top 250 Eng Movies,101
The Night of the Hunter,1955,8,68395,tt0048424,Top 250 Eng Movies,92
All Quiet on the Western Front,1930,8,49233,tt0020629,Top 250 Eng Movies,136
Beauty and the Beast,1991,8,337665,tt0101414,Top 250 Eng Movies,84
Lion,2016,8,115745,tt3741834,Top 250 Eng Movies,118
Twelve Monkeys,1995,8,493672,tt0114746,Top 250 Eng Movies,129
Guardians of the Galaxy,2014,8,770911,tt2015381,Top 250 Eng Movies,121
Dog Day Afternoon,1975,8,195760,tt0072890,Top 250 Eng Movies,125
Jaws,1975,8,446905,tt0073195,Top 250 Eng Movies,124
Zootopia,2016,8,305842,tt2948356,Top 250 Eng Movies,108
Guardians of the Galaxy Vol. 2,2017,8,182415,tt3896198,Top 250 Eng Movies,136
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,872441,tt0325980,Top 250 Eng Movies,143
Before Sunset,2004,8,180331,tt0381681,Top 250 Eng Movies,80
The Imitation Game,2014,8,537531,tt2084970,Top 250 Eng Movies,114
Young Frankenstein,1974,8,121808,tt0072431,Top 250 Eng Movies,106
Stalag 17,1953,8,44924,tt0046359,Top 250 Eng Movies,120
Dogville,2003,8,114062,tt0276919,Top 250 Eng Movies,178
Dead Poets Society,1989,8,296460,tt0097165,Top 250 Eng Movies,128
High Noon,1952,8,83716,tt0044706,Top 250 Eng Movies,85
Papillon,1973,8,101801,tt0070511,Top 250 Eng Movies,151
A Streetcar Named Desire,1951,8,83024,tt0044081,Top 250 Eng Movies,122
Arsenic and Old Lace,1944,8,56999,tt0036613,Top 250 Eng Movies,118
Sin City,2005,8,686277,tt0401792,Top 250 Eng Movies,124
The Hustler,1961,8,65831,tt0054997,Top 250 Eng Movies,134
A Night at the Opera,1935,8,26078,tt0026778,Top 250 Eng Movies,96
The Killing,1956,8,66041,tt0049406,Top 250 Eng Movies,85
The Avengers,2012,8,1052696,tt0848228,Top 250 Eng Movies,143
Notorious,1946,8,77755,tt0038787,Top 250 Eng Movies,101
Harvey,1950,8,46511,tt0042546,Top 250 Eng Movies,104
The Martian,2015,8,564745,tt3659388,Top 250 Eng Movies,144
The Exorcist,1973,8,300299,tt0070047,Top 250 Eng Movies,122
Rio Bravo,1959,8,45656,tt0053221,Top 250 Eng Movies,141
The Philadelphia Story,1940,8,52811,tt0032904,Top 250 Eng Movies,112
Rope,1948,8,102506,tt0040746,Top 250 Eng Movies,80
The Big Sleep,1946,8,67507,tt0038355,Top 250 Eng Movies,114
Pink Floyd: The Wall,1982,8,63610,tt0084503,Top 250 Eng Movies,95
The King's Speech,2010,8,538099,tt1504320,Top 250 Eng Movies,118
A Christmas Story,1983,8,111028,tt0085334,Top 250 Eng Movies,94
The Graduate,1967,8,220720,tt0061722,Top 250 Eng Movies,106
JFK,1991,8,120207,tt0102138,Top 250 Eng Movies,189
Sling Blade,1996,8,76058,tt0117666,Top 250 Eng Movies,135
Blood Diamond,2006,8,424850,tt0450259,Top 250 Eng Movies,143
Magnolia,1999,8,251311,tt0175880,Top 250 Eng Movies,188
Rain Man,1988,8,403808,tt0095953,Top 250 Eng Movies,133
The Revenant,2015,8,507618,tt1663202,Top 250 Eng Movies,156
The Nightmare Before Christmas,1993,8,239234,tt0107688,Top 250 Eng Movies,76
The Manchurian Candidate,1962,8,63525,tt0056218,Top 250 Eng Movies,126
Deadpool,2016,8,644575,tt1431045,Top 250 Eng Movies,108
The Wild Bunch,1969,8,66268,tt0065214,Top 250 Eng Movies,135
Aladdin,1992,8,282474,tt0103639,Top 250 Eng Movies,90
Big Fish,2003,8,366161,tt0319061,Top 250 Eng Movies,125
Patton,1970,8,80892,tt0066206,Top 250 Eng Movies,172
The Lost Weekend,1945,8,27026,tt0037884,Top 250 Eng Movies,101
Short Term 12,2013,8,63048,tt2370248,Top 250 Eng Movies,96
His Girl Friday,1940,8,43590,tt0032599,Top 250 Eng Movies,92
The Straight Story,1999,8,67479,tt0166896,Top 250 Eng Movies,112
Slumdog Millionaire,2008,8,681784,tt1010048,Top 250 Eng Movies,120
Anand,1971,8.7,16658,tt0066763,Top 250 Indian Movies,122
Drishyam,2013,8.6,15842,tt3417422,Top 250 Indian Movies,160
Nayakan,1987,8.6,9403,tt0093603,Top 250 Indian Movies,145
Anbe Sivam,2003,8.5,9000,tt0367495,Top 250 Indian Movies,160
Dangal,2016,8.5,58590,tt5074352,Top 250 Indian Movies,161
Gol Maal,1979,8.5,12055,tt0079221,Top 250 Indian Movies,144
Black Friday,2004,8.5,12591,tt0400234,Top 250 Indian Movies,143
Taare Zameen Par,2007,8.4,105481,tt0986264,Top 250 Indian Movies,165
Jaane Bhi Do Yaaro,1983,8.4,9138,tt0085743,Top 250 Indian Movies,132
3 Idiots,2009,8.4,243386,tt1187043,Top 250 Indian Movies,170
Pather Panchali,1955,8.3,15786,tt0048473,Top 250 Indian Movies,125
Chupke Chupke,1975,8.3,7904,tt0072783,Top 250 Indian Movies,127
